Data,Liga,Mandante,Visitante
12/12/2025,Bundesliga,Union Berlin,Leipzig
13/12/2025,Bundesliga,Frankfurt,Augsburg
13/12/2025,Bundesliga,M'gladbach,Wolfsburg
13/12/2025,Bundesliga,Hoffenheim,HSV
13/12/2025,Bundesliga,St. Pauli,Heidenheim
13/12/2025,Bundesliga,Leverkusen,Köln
14/12/2025,Bundesliga,Freiburg,Dortmund
14/12/2025,Bundesliga,Bayern,Mainz 05
14/12/2025,Bundesliga,Bremen,Stuttgart
19/12/2025,Bundesliga,Dortmund,M'gladbach
20/12/2025,Bundesliga,HSV,Frankfurt
20/12/2025,Bundesliga,Stuttgart,Hoffenheim
20/12/2025,Bundesliga,Wolfsburg,Freiburg
20/12/2025,Bundesliga,Köln,Union Berlin
20/12/2025,Bundesliga,Augsburg,Bremen
20/12/2025,Bundesliga,Leipzig,Leverkusen
21/12/2025,Bundesliga,Mainz 05,St. Pauli
21/12/2025,Bundesliga,Heidenheim,Bayern
09/01/2026,Bundesliga,Frankfurt,Dortmund
10/01/2026,Bundesliga,St. Pauli,Leipzig
10/01/2026,Bundesliga,Mainz 05,Union Berlin
10/01/2026,Bundesliga,Freiburg,HSV
10/01/2026,Bundesliga,Bremen,Hoffenheim
10/01/2026,Bundesliga,Heidenheim,Köln
10/01/2026,Bundesliga,Leverkusen,Stuttgart
11/01/2026,Bundesliga,M'gladbach,Augsburg
11/01/2026,Bundesliga,Bayern,Wolfsburg
13/01/2026,Bundesliga,Stuttgart,Frankfurt
13/01/2026,Bundesliga,Dortmund,Bremen
13/01/2026,Bundesliga,HSV,Leverkusen
13/01/2026,Bundesliga,Mainz 05,Heidenheim
14/01/2026,Bundesliga,Wolfsburg,St. Pauli
14/01/2026,Bundesliga,Köln,Bayern
14/01/2026,Bundesliga,Leipzig,Freiburg
14/01/2026,Bundesliga,Hoffenheim,M'gladbach
15/01/2026,Bundesliga,Augsburg,Union Berlin
16/01/2026,Bundesliga,Bremen,Frankfurt
17/01/2026,Bundesliga,Dortmund,St. Pauli
17/01/2026,Bundesliga,Hoffenheim,Leverkusen
17/01/2026,Bundesliga,HSV,M'gladbach
17/01/2026,Bundesliga,Wolfsburg,Heidenheim
17/01/2026,Bundesliga,Köln,Mainz 05
17/01/2026,Bundesliga,Leipzig,Bayern
18/01/2026,Bundesliga,Stuttgart,Union Berlin
18/01/2026,Bundesliga,Augsburg,Freiburg
23/01/2026,Bundesliga,St. Pauli,HSV
24/01/2026,Bundesliga,Bayern,Augsburg
24/01/2026,Bundesliga,Leverkusen,Bremen
24/01/2026,Bundesliga,Heidenheim,Leipzig
24/01/2026,Bundesliga,Frankfurt,Hoffenheim
24/01/2026,Bundesliga,Mainz 05,Wolfsburg
24/01/2026,Bundesliga,Union Berlin,Dortmund
25/01/2026,Bundesliga,M'gladbach,Stuttgart
25/01/2026,Bundesliga,Freiburg,Köln
31/01/2026,Bundesliga,HSV,Bayern
31/01/2026,Bundesliga,Dortmund,Heidenheim
31/01/2026,Bundesliga,Frankfurt,Leverkusen
31/01/2026,Bundesliga,Leipzig,Mainz 05
31/01/2026,Bundesliga,Stuttgart,Freiburg
31/01/2026,Bundesliga,Hoffenheim,Union Berlin
31/01/2026,Bundesliga,Bremen,M'gladbach
31/01/2026,Bundesliga,Köln,Wolfsburg
31/01/2026,Bundesliga,Augsburg,St. Pauli
07/02/2026,Bundesliga,Bayern,Hoffenheim
07/02/2026,Bundesliga,Wolfsburg,Dortmund
07/02/2026,Bundesliga,M'gladbach,Leverkusen
07/02/2026,Bundesliga,Köln,Leipzig
07/02/2026,Bundesliga,Union Berlin,Frankfurt
07/02/2026,Bundesliga,St. Pauli,Stuttgart
07/02/2026,Bundesliga,Freiburg,Bremen
07/02/2026,Bundesliga,Mainz 05,Augsburg
07/02/2026,Bundesliga,Heidenheim,HSV
14/02/2026,Bundesliga,Bremen,Bayern
14/02/2026,Bundesliga,Dortmund,Mainz 05
14/02/2026,Bundesliga,Leverkusen,St. Pauli
14/02/2026,Bundesliga,Leipzig,Wolfsburg
14/02/2026,Bundesliga,Frankfurt,M'gladbach
14/02/2026,Bundesliga,Stuttgart,Köln
14/02/2026,Bundesliga,HSV,Union Berlin
14/02/2026,Bundesliga,Hoffenheim,Freiburg
14/02/2026,Bundesliga,Augsburg,Heidenheim
21/02/2026,Bundesliga,Bayern,Frankfurt
21/02/2026,Bundesliga,Leipzig,Dortmund
21/02/2026,Bundesliga,Union Berlin,Leverkusen
21/02/2026,Bundesliga,Heidenheim,Stuttgart
21/02/2026,Bundesliga,Freiburg,M'gladbach
21/02/2026,Bundesliga,Wolfsburg,Augsburg
21/02/2026,Bundesliga,Köln,Hoffenheim
21/02/2026,Bundesliga,St. Pauli,Bremen
21/02/2026,Bundesliga,Mainz 05,HSV
