Time,CartoesAmarelos,CartoesVermelhos,Faltas,Escanteios,GolsFeitos,GolsSofridos
Alavés,2.42,0.0,15.58,4.1,1.1,1.4
Angers,1.33,0.0,11.5,4.0,1.0,1.5
Arsenal,1.33,0.0,10.45,5.93,2.3,0.8
Aston Villa,1.47,0.0,9.55,5.2,1.4,1.2
Atalanta,1.6,0.0,9.91,5.73,1.4,1.2
Athletic Bilbao,1.73,0.12,13.42,5.67,1.4,1.1
Atlético de Madrid,2.0,0.06,11.25,4.8,1.6,0.9
Augsburg,2.23,0.0,12.38,4.54,1.3,1.6
Auxerre,1.58,0.09,11.5,3.92,1.2,1.5
Bahia,2.2,0.06,11.5,5.3,1.4,1.2
Barcelona,1.93,0.09,10.36,5.4,2.2,0.9
Bayer Leverkusen,1.62,0.0,9.31,6.69,2.5,0.8
Bayern de Munique,1.38,0.0,8.85,6.31,3.0,0.8
Betis,1.8,0.0,10.73,4.87,1.1,1.1
Bochum,2.25,0.08,13.0,3.88,1.1,2.0
Bologna,2.07,0.09,11.71,4.43,1.3,1.0
Borussia Dortmund,1.69,0.08,9.54,5.38,1.9,1.2
Borussia M'Gladbach,1.62,0.0,10.31,5.31,1.7,1.7
Botafogo,2.5,0.12,13.0,5.8,1.6,0.9
Bournemouth,2.53,0.09,13.09,5.47,1.3,1.6
Brentford,2.0,0.0,11.45,5.47,1.3,1.6
Brest,1.92,0.17,12.0,4.33,1.4,1.0
Brighton,2.47,0.09,12.36,5.33,1.6,1.5
Cagliari,1.79,0.12,12.36,4.57,1.0,1.5
Celta de Vigo,1.6,0.12,12.36,4.33,1.3,1.4
Chelsea,1.87,0.12,11.55,5.67,2.0,1.6
Como,2.07,0.06,12.79,4.29,1.0,1.6
Corinthians,2.8,0.15,13.0,5.2,1.2,1.1
Cruzeiro,2.3,0.15,12.0,5.4,1.3,1.0
Crystal Palace,1.67,0.0,10.36,3.8,1.4,1.3
Darmstadt,2.38,0.15,11.75,2.88,0.9,2.3
Eintracht Frankfurt,1.62,0.15,11.0,4.69,1.5,1.3
Empoli,1.75,0.0,12.0,4.25,0.8,1.3
Espanyol,2.25,0.0,12.75,4.25,1.0,1.5
Everton,2.2,0.09,10.73,4.4,1.0,1.4
Fiorentina,2.07,0.0,12.0,5.0,1.5,1.1
Flamengo,2.4,0.09,13.5,6.1,1.8,0.9
Fluminense,2.7,0.15,11.5,4.8,1.3,1.2
Fortaleza,2.4,0.15,12.5,5.1,1.4,1.1
Freiburg,1.62,0.08,10.23,4.46,1.4,1.5
Fulham,1.73,0.09,14.0,5.2,1.4,1.5
Genoa,2.29,0.06,12.07,3.43,1.0,1.3
Getafe,3.0,0.24,17.27,3.73,1.1,1.3
Girona,1.8,0.0,10.91,4.07,2.0,1.2
Havre,1.75,0.17,12.5,2.92,0.9,1.3
Heidenheim,1.38,0.0,12.5,4.62,1.3,1.4
Hellas Verona,2.7,0.15,17.0,3.8,0.9,1.4
Hoffenheim,2.0,0.15,11.0,4.31,1.7,1.8
Holstein Kiel,1.92,0.08,11.23,5.69,1.7,1.4
Internacional,2.5,0.12,13.2,5.5,1.3,1.0
Inter de Milão,1.36,0.0,10.71,5.5,2.4,0.7
Ipswich,3.88,0.0,11.5,3.88,1.4,1.2
Juve,1.79,0.03,11.71,4.93,1.4,0.8
Juventude,2.8,0.18,14.5,4.5,1.1,1.4
Köln,1.69,0.15,13.23,5.62,0.8,1.7
Las Palmas,2.12,0.12,10.0,2.88,0.9,1.3
Lazio,2.0,0.06,11.36,5.29,1.6,1.0
Lecce,2.07,0.12,13.5,4.21,0.9,1.5
Leeds,1.71,0.06,11.57,4.29,1.4,1.2
Leganés,2.0,0.0,12.0,4.25,1.4,1.2
Leicester,3.25,0.25,14.25,3.25,1.4,1.2
Leipzig,1.77,0.0,10.0,5.62,2.2,1.0
Lens,2.08,0.17,12.75,5.5,1.4,1.0
Lille,1.5,0.0,10.83,5.0,1.4,0.9
Liverpool,1.33,0.12,12.36,5.93,2.4,0.9
Luton Town,1.38,0.0,11.5,3.75,1.4,2.2
Lyon,1.67,0.17,11.92,4.75,1.4,1.5
Mainz 05,2.38,0.0,13.31,4.69,1.1,1.4
Mallorca,2.4,0.12,14.73,4.4,0.9,1.1
Manchester City,1.2,0.03,9.2,6.07,2.7,0.8
Manchester United,1.47,0.03,10.36,4.27,1.4,1.4
Marselha,1.67,0.17,11.58,5.08,1.8,1.2
Milan,1.79,0.18,10.93,5.79,2.0,1.3
Monaco,2.08,0.25,13.08,5.08,2.0,1.2
Montpellier,1.83,0.0,12.25,4.67,1.2,1.6
Monza,1.88,0.12,11.5,4.5,1.0,1.4
Nantes,1.92,0.08,12.33,4.33,0.9,1.5
Napoli,1.79,0.12,9.57,6.0,1.6,1.2
Newcastle,1.67,0.0,10.73,4.4,2.1,1.5
Nice,1.58,0.08,10.33,4.75,1.1,0.8
Nottingham,1.8,0.09,11.27,3.47,1.3,1.7
Osasuna,1.73,0.12,13.0,4.4,1.2,1.5
Palmeiras,2.3,0.09,14.0,6.4,1.7,0.8
Parma,2.0,0.14,12.07,4.5,1.4,1.4
PSG,1.25,0.08,9.58,6.0,2.6,0.8
Rayo Vallecano,2.2,0.12,14.73,4.33,0.9,1.2
Real Madrid,1.67,0.12,9.91,5.87,2.5,0.7
Real Valladolid,2.0,0.0,12.0,4.25,1.4,1.2
Reims,1.5,0.0,10.75,4.25,1.2,1.3
Rennes,1.58,0.08,10.25,5.08,1.5,1.3
Roma,1.64,0.03,11.57,4.79,1.7,1.2
Saint-Etienne,1.83,0.0,11.92,4.58,1.4,1.2
Sevilla,2.27,0.12,12.09,5.73,1.4,1.4
Sheffield United,2.25,0.12,11.25,2.75,0.9,2.7
Sociedad,2.0,0.03,14.36,5.07,1.4,1.1
St. Pauli,1.38,0.08,10.62,4.38,1.4,1.2
Strasbourg,1.75,0.0,11.58,3.5,1.1,1.3
Stuttgart,1.46,0.0,9.85,5.08,2.2,1.1
Sunderland,1.75,0.0,11.5,3.88,1.4,1.2
São Paulo,2.6,0.06,12.5,5.5,1.4,1.0
Torino,1.79,0.0,12.36,4.29,1.0,1.0
Tottenham,2.2,0.09,11.73,6.33,2.0,1.6
Toulouse,2.08,0.0,12.92,4.25,1.2,1.5
Udinese,2.21,0.09,12.36,3.86,1.0,1.3
Union Berlin,1.69,0.15,11.69,4.23,1.0,1.5
Valencia,1.6,0.12,13.0,3.07,1.1,1.3
Vallecano,2.2,0.12,14.73,4.33,1.4,1.2
Vasco da Gama,2.12,0.15,13.38,4.8,1.3,1.4
Villarreal,2.33,0.12,12.09,4.67,1.7,1.7
Vitória,2.9,0.21,13.5,4.4,1.1,1.4
Werder Bremen,1.85,0.0,11.23,3.38,1.4,1.6
West Ham,2.2,0.06,9.55,4.07,1.6,1.9
Wolfsburg,2.31,0.08,12.69,3.69,1.2,1.6
Wolves,1.87,0.12,12.0,4.47,1.3,1.7
Atletico-MG,2.7,,12.8,5.9,1.5,1.1
Athletico-PR,2.5,,14.2,5.6,1.3,1.1
Vasco,2.9,,13.8,5.0,1.2,1.3
Gremio,2.6,,12.9,5.2,1.4,1.3
Bragantino,2.3,,12.0,5.7,1.3,1.2
Criciuma,2.4,,12.2,4.6,1.2,1.3
Atletico-GO,2.8,,13.0,4.8,1.0,1.5
Cuiaba,2.5,,12.5,4.2,1.0,1.3
Santos,2.4,,12.0,5.3,1.3,1.1
Sport,2.6,,13.0,5.1,1.4,1.0
Ceara,2.5,,13.5,5.2,1.3,1.1
Goias,2.7,,14.0,4.5,1.1,1.2
