Time,CartoesAmarelos,CartoesVermelhos,Faltas,Escanteios,GolsFeitos,GolsSofridos
Alavés,2.42,0.00,15.58,4.1,1.1,1.4
Angers,1.33,0.00,11.50,4.0,1.0,1.5
Arsenal,1.00,0.00,10.45,7.5,2.3,0.8
Aston Villa,1.73,0.00,9.55,5.8,1.9,1.4
Atalanta,1.55,0.00,9.91,6.1,2.1,1.1
Athletic Club,1.75,0.25,13.42,5.6,1.6,1.0
Atl Madrid,2.00,0.17,11.25,5.4,1.8,0.9
Atlético Mineiro,2.59,0.21,13.29,5.8,1.6,1.1
Augsburg,3.30,0.00,13.60,4.2,1.3,1.7
Auxerre,2.33,0.33,13.83,3.8,1.1,1.6
Bahia,2.24,0.15,12.00,5.0,1.4,1.3
Bayern Munich,2.50,0.00,10.40,7.5,2.8,0.9
Betis,1.92,0.00,9.08,5.1,1.4,1.2
Bologna,2.09,0.00,15.00,4.8,1.5,1.1
Borussia Dortmund,1.60,0.00,12.30,6.8,2.2,1.3
Botafogo,2.44,0.09,14.59,6.3,1.9,0.9
Bournemouth,2.45,0.00,13.09,5.1,1.4,1.6
Bragantino,2.94,0.09,14.09,5.4,1.3,1.2
Brentford,2.09,0.00,11.45,4.5,1.5,1.7
Brest,1.50,0.17,12.58,5.2,1.4,1.2
Brighton,2.55,0.00,12.36,5.2,1.8,1.6
Burnley,1.64,0.00,9.91,3.8,0.9,1.9
Cagliari,2.27,0.00,15.73,4.2,1.0,1.6
Ceará,2.24,0.06,14.03,4.5,1.5,1.0
Celta,2.08,0.00,11.92,4.8,1.4,1.5
Chelsea,2.09,0.27,11.55,6.4,2.1,1.3
Como,2.45,0.18,16.36,3.8,0.9,1.6
Corinthians,3.00,0.12,14.09,5.2,1.2,1.1
Cremonese,2.18,0.00,11.91,3.5,0.9,1.4
Cruzeiro,2.82,0.15,13.97,5.5,1.3,1.0
Crystal Palace,1.73,0.00,10.36,4.4,1.2,1.6
Dortmund,1.60,0.00,12.30,6.8,2.2,1.3
Eintracht Frankfurt,1.80,0.00,10.20,5.5,1.7,1.4
Elche,1.75,0.00,13.00,3.5,0.8,1.7
Espanyol,1.67,0.00,12.75,4.2,1.1,1.5
Everton,2.36,0.00,10.73,4.7,1.0,1.5
FC Barcelona,1.83,0.17,9.42,7.2,2.6,1.0
Fiorentina,2.36,0.00,14.64,5.5,1.6,1.2
Flamengo,2.21,0.15,14.03,6.5,1.8,0.9
Fluminense,2.06,0.09,12.79,5.1,1.3,1.1
Fortaleza,2.94,0.26,14.26,5.8,1.5,1.0
Freiburg,1.70,0.20,8.90,5.0,1.5,1.4
Fulham,1.91,0.00,14.00,5.1,1.4,1.5
Genoa,2.73,0.00,15.27,3.9,1.0,1.4
Getafe,2.50,0.17,15.42,3.8,1.0,1.3
Girona,2.00,0.42,10.25,5.2,2.0,1.5
Gladbach,1.80,0.00,11.90,5.1,1.6,1.8
Grêmio,2.65,0.15,13.32,5.3,1.4,1.2
Hamburg,2.40,0.40,13.50,4.5,1.6,1.6
Heidenheim,1.50,0.00,10.40,4.0,1.2,1.5
Hellas Verona,2.55,0.00,17.00,4.0,1.0,1.6
Hoffenheim,2.10,0.00,15.10,4.8,1.6,1.9
Inter,1.55,0.00,14.45,6.5,2.3,0.7
Internacional,2.35,0.21,15.26,5.6,1.4,1.0
Juventus,1.45,0.00,12.45,5.8,1.8,0.8
Juventude,3.00,0.12,15.91,4.3,1.2,1.4
Köln,1.90,0.00,9.70,4.6,1.1,1.7
Lazio,1.45,0.18,11.00,5.2,1.7,1.1
Le Havre,1.92,0.00,14.58,3.9,0.9,1.5
Lecce,1.82,0.00,12.55,4.1,0.9,1.6
Leeds United,1.45,0.00,10.00,5.3,1.5,1.6
Lens,2.25,0.17,13.00,5.5,1.5,1.1
Levante,2.00,0.00,12.58,4.0,1.2,1.4
Leverkusen,2.50,0.20,9.20,6.9,2.4,1.0
Lille,2.42,0.00,13.75,5.8,1.6,1.0
Liverpool,2.09,0.00,10.09,7.1,2.4,1.0
Lorient,2.33,0.00,10.50,4.3,1.3,1.7
Lyon,2.00,0.33,14.42,5.6,1.6,1.5
Mainz 05,2.60,0.30,13.30,4.3,1.2,1.7
Mallorca,2.08,0.25,11.92,3.9,1.0,1.2
Man City,1.64,0.00,9.36,8.2,2.6,0.9
Man United,1.27,0.00,9.36,6.0,1.5,1.3
Marseille,2.25,0.00,12.50,6.0,1.8,1.2
Metz,1.50,0.25,11.42,3.7,1.0,1.6
Milan,1.45,0.00,9.91,6.0,2.0,1.2
Mirassol,2.24,0.03,12.41,4.0,1.3,0.9
Monaco,2.58,0.17,13.17,6.1,2.0,1.3
Montpellier,1.67,0.00,11.58,4.8,1.3,1.6
Napoli,1.45,0.00,13.45,6.2,1.9,1.0
Newcastle,1.27,0.18,11.82,6.5,2.0,1.2
Nice,2.33,0.00,12.92,5.3,1.3,1.0
Nottm Forest,1.82,0.00,10.91,4.2,1.2,1.6
Osasuna,2.08,0.17,12.67,4.3,1.1,1.4
Oviedo,2.42,0.25,11.75,3.6,1.0,1.3
Palmeiras,1.88,0.09,14.12,7.1,1.9,0.8
Paris FC,2.00,0.17,11.42,3.5,1.0,1.2
Paris Saint-Germain,1.25,0.00,10.08,7.0,2.5,0.8
Parma,2.00,0.18,12.00,4.3,1.2,1.5
Pisa,1.82,0.00,13.27,3.7,1.1,1.3
RB Leipzig,1.60,0.00,10.00,6.2,2.2,1.1
Real Madrid,1.92,0.17,10.17,6.9,2.4,0.9
Recife,2.56,0.09,13.74,4.6,1.4,1.1
Rennes,2.00,0.25,12.58,5.7,1.6,1.3
Roma,1.91,0.00,14.36,5.4,1.8,1.3
Santos,2.71,0.12,14.21,5.0,1.3,1.1
Sassuolo,2.45,0.00,13.45,4.9,1.4,1.6
Sevilla,3.42,0.00,15.92,5.3,1.3,1.3
Sociedad,2.33,0.00,16.17,5.5,1.4,1.1
St. Pauli,2.00,0.00,11.80,3.9,1.0,1.5
Strasbourg,2.25,0.25,11.83,4.5,1.3,1.5
Stuttgart,1.90,0.00,10.90,5.7,2.1,1.4
Sunderland,1.73,0.00,9.55,4.0,1.2,1.4
São Paulo,2.59,0.06,14.41,6.0,1.5,0.9
Torino,1.82,0.00,13.64,4.6,1.1,1.2
Tottenham,2.36,0.00,11.55,6.1,2.0,1.4
Toulouse,2.67,0.00,14.17,4.6,1.2,1.5
Udinese,2.18,0.00,12.91,4.5,1.1,1.4
Union Berlin,2.50,0.00,14.50,4.1,1.1,1.5
Valencia,1.67,0.00,12.08,4.9,1.2,1.3
Vallecano,2.33,0.00,13.67,4.5,1.0,1.4
Vasco da Gama,2.12,0.15,13.38,4.8,1.3,1.4
Villarreal,2.17,0.00,11.25,5.2,1.7,1.6
Vitória,3.09,0.21,15.12,4.2,1.1,1.5
Werder Bremen,2.70,0.00,9.50,4.4,1.4,1.7
West Ham,1.55,0.00,10.64,4.8,1.4,1.6
Wolfsburg,1.70,0.00,11.30,5.0,1.3,1.5
Wolves,1.82,0.18,13.45,4.1,1.1,1.6
