Data,Liga,Mandante,Visitante
13/12/2025,Ligue 1,Rennes,Brest
13/12/2025,Ligue 1,Metz,PSG
13/12/2025,Ligue 1,Paris,Toulouse
14/12/2025,Ligue 1,Lyon,Le Havre
14/12/2025,Ligue 1,Auxerre,Lille
14/12/2025,Ligue 1,Lens,Nice
14/12/2025,Ligue 1,Strasbourg,Lorient
14/12/2025,Ligue 1,Marseille,AS Monaco
02/01/2026,Ligue 1,Toulouse,Lens
03/01/2026,Ligue 1,AS Monaco,Lyon
03/01/2026,Ligue 1,Nice,Strasbourg
03/01/2026,Ligue 1,Lille,Rennes
04/01/2026,Ligue 1,Marseille,Nantes
04/01/2026,Ligue 1,Brest,Auxerre
04/01/2026,Ligue 1,Le Havre,Angers
04/01/2026,Ligue 1,Lorient,Metz
04/01/2026,Ligue 1,PSG,Paris
16/01/2026,Ligue 1,AS Monaco,Lorient
16/01/2026,Ligue 1,PSG,Lille
17/01/2026,Ligue 1,Auxerre,Lens
17/01/2026,Ligue 1,Toulouse,Nice
17/01/2026,Ligue 1,Angers,Marseille
18/01/2026,Ligue 1,Strasbourg,Metz
18/01/2026,Ligue 1,Rennes,Le Havre
18/01/2026,Ligue 1,Nantes,Paris
18/01/2026,Ligue 1,Lyon,Brest
23/01/2026,Ligue 1,Auxerre,PSG
24/01/2026,Ligue 1,Rennes,Lorient
24/01/2026,Ligue 1,Le Havre,AS Monaco
24/01/2026,Ligue 1,Marseille,Lens
25/01/2026,Ligue 1,Nantes,Nice
25/01/2026,Ligue 1,Metz,Lyon
25/01/2026,Ligue 1,Brest,Toulouse
25/01/2026,Ligue 1,Paris,Angers
25/01/2026,Ligue 1,Lille,Strasbourg
30/01/2026,Ligue 1,Lens,Le Havre
31/01/2026,Ligue 1,Paris,Marseille
31/01/2026,Ligue 1,Lorient,Nantes
31/01/2026,Ligue 1,AS Monaco,Rennes
01/02/2026,Ligue 1,Lyon,Lille
01/02/2026,Ligue 1,Nice,Brest
01/02/2026,Ligue 1,Toulouse,Auxerre
01/02/2026,Ligue 1,Angers,Metz
01/02/2026,Ligue 1,Strasbourg,PSG
08/02/2026,Ligue 1,PSG,Marseille
08/02/2026,Ligue 1,Nice,AS Monaco
08/02/2026,Ligue 1,Nantes,Lyon
08/02/2026,Ligue 1,Metz,Lille
08/02/2026,Ligue 1,Lens,Rennes
08/02/2026,Ligue 1,Brest,Lorient
08/02/2026,Ligue 1,Le Havre,Strasbourg
08/02/2026,Ligue 1,Angers,Toulouse
08/02/2026,Ligue 1,Auxerre,Paris
15/02/2026,Ligue 1,Marseille,Strasbourg
15/02/2026,Ligue 1,Lyon,Nice
15/02/2026,Ligue 1,AS Monaco,Nantes
15/02/2026,Ligue 1,Lille,Brest
15/02/2026,Ligue 1,Paris,Lens
15/02/2026,Ligue 1,Le Havre,Toulouse
15/02/2026,Ligue 1,Lorient,Angers
15/02/2026,Ligue 1,Metz,Auxerre
16/02/2026,Ligue 1,Rennes,PSG
22/02/2026,Ligue 1,PSG,Metz
22/02/2026,Ligue 1,Brest,Marseille
22/02/2026,Ligue 1,Lens,AS Monaco
22/02/2026,Ligue 1,Strasbourg,Lyon
22/02/2026,Ligue 1,Angers,Lille
22/02/2026,Ligue 1,Nice,Lorient
22/02/2026,Ligue 1,Auxerre,Rennes
22/02/2026,Ligue 1,Nantes,Le Havre
22/02/2026,Ligue 1,Toulouse,Paris
28/02/2026,Ligue 1,Le Havre,PSG
28/02/2026,Ligue 1,Strasbourg,Lens
01/03/2026,Ligue 1,Marseille,Lyon
01/03/2026,Ligue 1,AS Monaco,Angers
01/03/2026,Ligue 1,Lille,Nantes
01/03/2026,Ligue 1,Rennes,Toulouse
01/03/2026,Ligue 1,Paris,Nice
01/03/2026,Ligue 1,Metz,Brest
01/03/2026,Ligue 1,Lorient,Auxerre
08/03/2026,Ligue 1,PSG,AS Monaco
08/03/2026,Ligue 1,Toulouse,Marseille
08/03/2026,Ligue 1,Lyon,Paris
08/03/2026,Ligue 1,Lille,Lorient
08/03/2026,Ligue 1,Nice,Rennes
08/03/2026,Ligue 1,Lens,Metz
08/03/2026,Ligue 1,Brest,Le Havre
08/03/2026,Ligue 1,Nantes,Angers
08/03/2026,Ligue 1,Auxerre,Strasbourg
