Data,Liga,Mandante,Visitante
13/12/2025,Serie A,Torino,Cremonese
13/12/2025,Serie A,Parma,Lazio
13/12/2025,Serie A,Atalanta,Cagliari
14/12/2025,Serie A,Milan,Sassuolo
14/12/2025,Serie A,Udinese,Napoli
14/12/2025,Serie A,Fiorentina,Verona
14/12/2025,Serie A,Genoa,Inter
14/12/2025,Serie A,Bologna,Juventus
15/12/2025,Serie A,Roma,Como
20/12/2025,Serie A,Lazio,Cremonese
20/12/2025,Serie A,Juventus,Roma
21/12/2025,Serie A,Cagliari,Pisa
21/12/2025,Serie A,Sassuolo,Torino
21/12/2025,Serie A,Fiorentina,Udinese
21/12/2025,Serie A,Genoa,Atalanta
27/12/2025,Serie A,Fiorentina,Parma
27/12/2025,Serie A,Lecce,Como
27/12/2025,Serie A,Torino,Cagliari
27/12/2025,Serie A,Udinese,Lazio
27/12/2025,Serie A,Pisa,Juventus
28/12/2025,Serie A,Milan,Verona
28/12/2025,Serie A,Cremonese,Napoli
28/12/2025,Serie A,Bologna,Sassuolo
28/12/2025,Serie A,Atalanta,Inter
29/12/2025,Serie A,Roma,Genoa
02/01/2026,Serie A,Cagliari,Milan
03/01/2026,Serie A,Como,Udinese
03/01/2026,Serie A,Sassuolo,Parma
03/01/2026,Serie A,Genoa,Pisa
03/01/2026,Serie A,Juventus,Lecce
03/01/2026,Serie A,Atalanta,Roma
04/01/2026,Serie A,Lazio,Napoli
04/01/2026,Serie A,Fiorentina,Cremonese
04/01/2026,Serie A,Verona,Torino
04/01/2026,Serie A,Inter,Bologna
06/01/2026,Serie A,Pisa,Como
06/01/2026,Serie A,Lecce,Roma
06/01/2026,Serie A,Sassuolo,Juventus
07/01/2026,Serie A,Napoli,Verona
07/01/2026,Serie A,Bologna,Atalanta
07/01/2026,Serie A,Parma,Inter
07/01/2026,Serie A,Lazio,Fiorentina
07/01/2026,Serie A,Torino,Udinese
08/01/2026,Serie A,Cremonese,Cagliari
08/01/2026,Serie A,Milan,Genoa
10/01/2026,Serie A,Como,Bologna
10/01/2026,Serie A,Udinese,Pisa
10/01/2026,Serie A,Roma,Sassuolo
10/01/2026,Serie A,Atalanta,Torino
11/01/2026,Serie A,Lecce,Parma
11/01/2026,Serie A,Fiorentina,Milan
11/01/2026,Serie A,Verona,Lazio
11/01/2026,Serie A,Inter,Napoli
12/01/2026,Serie A,Genoa,Cagliari
12/01/2026,Serie A,Juventus,Cremonese
14/01/2026,Serie A,Napoli,Parma
14/01/2026,Serie A,Inter,Lecce
15/01/2026,Serie A,Verona,Bologna
15/01/2026,Serie A,Como,Milan
16/01/2026,Serie A,Pisa,Atalanta
17/01/2026,Serie A,Udinese,Inter
17/01/2026,Serie A,Napoli,Sassuolo
17/01/2026,Serie A,Cagliari,Juventus
18/01/2026,Serie A,Parma,Genoa
18/01/2026,Serie A,Bologna,Fiorentina
18/01/2026,Serie A,Torino,Roma
18/01/2026,Serie A,Milan,Lecce
19/01/2026,Serie A,Cremonese,Verona
19/01/2026,Serie A,Lazio,Como
23/01/2026,Serie A,Inter,Pisa
24/01/2026,Serie A,Como,Torino
24/01/2026,Serie A,Fiorentina,Cagliari
24/01/2026,Serie A,Lecce,Lazio
25/01/2026,Serie A,Sassuolo,Cremonese
25/01/2026,Serie A,Atalanta,Parma
25/01/2026,Serie A,Genoa,Bologna
25/01/2026,Serie A,Juventus,Napoli
25/01/2026,Serie A,Roma,Milan
26/01/2026,Serie A,Verona,Udinese
01/02/2026,Serie A,Bologna,Milan
01/02/2026,Serie A,Cremonese,Inter
01/02/2026,Serie A,Parma,Juventus
01/02/2026,Serie A,Napoli,Fiorentina
01/02/2026,Serie A,Udinese,Roma
01/02/2026,Serie A,Como,Atalanta
01/02/2026,Serie A,Lazio,Genoa
01/02/2026,Serie A,Torino,Lecce
01/02/2026,Serie A,Cagliari,Verona
01/02/2026,Serie A,Pisa,Sassuolo
08/02/2026,Serie A,Juventus,Lazio
08/02/2026,Serie A,Sassuolo,Inter
08/02/2026,Serie A,Milan,Como
08/02/2026,Serie A,Genoa,Napoli
08/02/2026,Serie A,Roma,Cagliari
08/02/2026,Serie A,Atalanta,Cremonese
08/02/2026,Serie A,Fiorentina,Torino
08/02/2026,Serie A,Bologna,Parma
08/02/2026,Serie A,Lecce,Udinese
08/02/2026,Serie A,Verona,Pisa
15/02/2026,Serie A,Inter,Juventus
15/02/2026,Serie A,Napoli,Roma
15/02/2026,Serie A,Pisa,Milan
15/02/2026,Serie A,Lazio,Atalanta
15/02/2026,Serie A,Como,Fiorentina
15/02/2026,Serie A,Torino,Bologna
15/02/2026,Serie A,Udinese,Sassuolo
15/02/2026,Serie A,Cagliari,Lecce
15/02/2026,Serie A,Parma,Verona
15/02/2026,Serie A,Cremonese,Genoa
22/02/2026,Serie A,Lecce,Inter
22/02/2026,Serie A,Atalanta,Napoli
22/02/2026,Serie A,Milan,Parma
22/02/2026,Serie A,Juventus,Como
